PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40069616,"Protocol of the IMPACT study: randomized, multicenter, phase 3 study evaluating the efficacy of immunotherapy (Atezolizumab) plus anti-VEGF therapy (Bevacizumab) in combination with transcatheter arterial chemoembolization for unresectable hepatocellular carcinoma.",2025,Tetsutaro Hamano,"Head office, P4 Statistics Co. Ltd., 5-11-14, Todoroki, Setagaya-Ku, Tokyo, 158-0082, Japan.",m-kudo@med.kindai.ac.jp.
40068924,Concordance between the updated Elecsys cerebrospinal fluid immunoassays and amyloid positron emission tomography for Alzheimer's disease assessment: findings from the Apollo study.,2025,Margherita Carboni; Sandra Rutz; Ekaterina Manuilova; Henrik Schinke; Jan-Philipp Weinberger; Stefanie Gaupp; Silja McIlwrick,"Roche Diagnostics International Ltd, Rotkreuz, Switzerland.; Roche Diagnostics GmbH, Penzberg, Germany.",N/A
40068787,Right heart failure and mortality in patients undergoing transcatheter tricuspid valve interventions.,2025,N/A,N/A,mariannaadamo@hotmail.com.
40068370,Efficacy and safety of larotrectinib in patients with TRK fusion gastrointestinal cancer.,2025,Domnita-Ileana Burcoveanu; Natascha Neu,"Bayer HealthCare Pharmaceuticals, Inc., Basel, Switzerland.; Chrestos Concept GmbH & Co. KG, Essen, Germany.",changsongqi@bjmu.edu.cn.
40068239,Treatment decision-making factors and sequencing in recurrent and/or metastatic squamous cell carcinoma of the head and neck.,2025,N/A,N/A,thorsten.fuereder@meduniwien.ac.at.; filippo.venturini@merckgroup.com.; paolo.bossi@unibs.it.; lisa.licitra@istitutotumori.mi.it.; ivanyi.philipp@mh-hannover.de.; agustinhfalco@yahoo.com.ar.; pattrickguo@gmail.com.; matahara@east.ncc.go.jp.; marie-noelle.solbes@merckgroup.com.; rmesia@iconcologia.net.; szturz@gmail.com.
40066684,Mechanistic Investigation into the Phase Separation Behavior of Soluplus in the Presence of Biorelevant Media.,2025,Malte Bøgh Senniksen; Susanne Page; Nicole Wyttenbach; Wiebke Saal,"Pharmaceutical R&D, F. Hoffmann-La Roche Ltd., Grenzacherstrasse 124, 4070 Basel, Switzerland.; Roche Pharma Research and Early Development, Therapeutic Modalities, Roche Innovation Center Basel, F. Hoffmann-La Roche Ltd., Grenzacherstrasse 124, 4070 Basel, Switzerland.",N/A
40064880,"Tebentafusp, a T cell engager, promotes macrophage reprogramming and in combination with IL-2 overcomes macrophage immunosuppression in cancer.",2025,Anastasiya Kazachenka; Laura Collins; Koustubh Ranade; Esra Güç; Emma Leach; James Clubley; Sarah Stanhope; Anna Broomfield; Adel Benlahrech; Antonio Camera; Agatha Treveil; Rahul Khanolkar,"Immunocore Ltd, Rockville, MD, USA.; Immunocore Ltd, Abingdon-on-Thames, UK. adel.benlahrech@immunocore.com.; Immunocore Ltd, Abingdon-on-Thames, UK.",adel.benlahrech@immunocore.com.
40064798,Identification of Predictive Factors for the Development of In-Transit Metastasis in Patients with Melanoma.,2025,N/A,N/A,anne.huibers@vgregion.se.
40063243,"Gilteritinib versus salvage chemotherapy in predominantly Asian patients with relapsed/refractory FLT3-mutated acute myeloid leukemia: a regional analysis of COMMODORE in China, South-East Asia, and Russia.",2025,Xiaoxi Zeng; Yaru Deng; Nahla Hasabou; Masanori Kosako; Taishi Sakatani,"Astellas China Investment Co, Ltd., Beijing, China.; Astellas Pharma, Inc., Tokyo, Japan.; Astellas Pharma, Inc., Northbrook, IL, USA.",wangjx@ihcams.ac.cn.
40063203,Mapping Vaccination Mindsets among UK Residents of Black Ethnicities with HIV: Lessons from COVID-19.,2025,N/A,N/A,r.horne@ucl.ac.uk.
